R;P;T
3296417,20430108;2257978,49462366;3306946,23655914
3399559,39524838;2269246,22030238;3300788,33693305
3362214,28571429;2342634,1991342;3209541,12554113
3247507,65864333;2270295,404814;3068264,7702407
3426259,42350333;2368745,01108647;3231164,07982262
3324382,22222222;2344917,77777778;3432782,22222222
3283324,32432432;2252000;3193031,53153153
3474952,59593679;2220661,39954853;3218516,93002257
3515893,18181818;2326722,72727273;3271793,18181818
3488000;2098644,34180139;3137836,02771363
3649570,09345794;2221140,18691589;3044518,69158879
3335642,35294118;2145745,88235294;2819489,41176471
3252858,49056604;1998672,16981132;3173601,41509434
3363450;2313604,76190476;3270757,14285714
3357060,53268765;2240208,23244552;3037760,2905569
3260629,26829268;2234470,73170732;3072760,97560976
3283582,30958231;2127078,62407862;3058656,01965602
3468761,7866005;2209620,34739454;3333843,67245658
3340655;2263977,5;3084897,5
3226145,03816794;2112045,80152672;3116091,60305344
3079465,29562982;2132475,57840617;3264850,89974293
3233241,55844156;2088366,23376623;3084932,46753247
3383473,95833333;2162351,5625;3138315,10416667
3196303,43007916;2186897,09762533;3164129,28759894
3192656;2054922,66666667;3127701,33333333
3146722,37196766;1992754,71698113;2996536,38814016
3279463,41463415;2144574,52574526;3308921,40921409
3327591,78082192;2083383,56164384;3131800
3262248,61878453;1954342,54143646;3029657,45856354
3273108,33333333;2106205,55555556;3121752,77777778
3018075,20891365;2093175,48746518;2935194,98607242
3409073,65439093;2232810,19830028;3044815,86402266
3185008,54700855;2140105,41310541;3110569,8005698
3241653,29512894;2150736,38968481;3073366,76217765
3208366,27906977;1970473,8372093;2939546,51162791
3092722,71386431;2087994,10029499;2715176,99115044
3371369,36936937;2200555,55555556;2922393,39339339
3274352,58358663;2168009,11854103;2886823,70820669
2958948,01223242;1944941,89602446;2689006,11620795
3037518,51851852;1999185,18518519;2668916,66666667
2902451,71339564;1896753,894081;2817345,79439252
3084490,625;1986465,625;2872340,625
3160344,82758621;1963987,46081505;2847473,35423198
3054200;1840644,44444444;2742380,95238095
3154792,33226837;1989060,7028754;2983610,22364217
3311238,70967742;2005054,83870968;3068354,83870968
3068284,31372549;2087065,35947712;2883251,63398693
3069013,1147541;2112406,55737705;3161645,90163934
3054204,62046205;1986848,18481848;2902320,1320132
3216184,81848185;2189709,5709571;3000455,44554455
2969663,33333333;2116663,33333333;3072140
2831588,62876254;1927351,17056856;3007374,5819398
2990360,26936027;2055525,25252525;2822892,25589226
3034510,13513514;2014364,86486486;2783425,67567568
3200023,72881356;2085349,15254237;2689413,55932203
3065660,95890411;2095900,68493151;2764517,12328767
2892243,15068493;2050315,06849315;2893832,19178082
2914806,89655172;2085648,27586207;2728868,96551724
3027368,05555556;2030645,83333333;2963493,05555556
3291355,63380282;2014528,16901408;2832542,25352113
3160626,33451957;2095206,40569395;2895199,28825623
2952448,39857651;2035960,85409253;3116053,38078292
3046387,90035587;1984658,36298932;2757722,41992883
3036845,8781362;2045218,63799283;2998985,66308244
3013801,44404332;2155653,42960289;2812873,64620939
2811589,09090909;2044149,09090909;2785163,63636364
3010638,68613139;1709408,75912409;2675332,11678832
3136735,29411765;2092055,14705882;2758900,73529412
3088246,32352941;2132077,20588235;2910025,73529412
2935419,11764706;1937904,41176471;2720058,82352941
2812472,32472325;2030287,82287823;2675405,90405904
2950869,88847584;1976758,36431227;2723973,97769517
2815108,61423221;1886033,70786517;2828513,10861423
3053146,61654135;2064917,29323308;2812191,72932331
2911969,58174905;2087969,58174905;2645676,80608365
3083011,49425287;1938605,36398467;2661256,70498084
3113819,60784314;2168427,45098039;2931874,50980392
2980083,33333333;2138500;3008309,52380952
2833112;2177420;2903120
3048244;1954004;2879108
2941068,27309237;2078212,85140562;2870714,85943775
3035238,86639676;2040412,95546559;2916894,73684211
2806176,2295082;1912159,83606557;2934405,73770492
2819194,21487603;2039326,44628099;2717731,40495868
2851091,66666667;1873866,66666667;2888262,5
2831757,32217573;1960652,71966527;2761439,33054393
2728915,61181435;1840316,4556962;2691316,4556962
2757506,38297872;1833902,12765957;2611387,23404255
2795602,56410256;2038119,65811966;2790286,32478633
2888313,30472103;1988939,91416309;2768068,6695279
2994146,55172414;1914133,62068966;2914887,93103448
2609695,65217391;1760452,17391304;2748686,95652174
3015013,10043668;2063873,36244541;2992807,86026201
2866607,92951542;1869977,97356828;2697180,61674009
2968339,20704846;1900903,08370044;2747074,88986784
2820678,57142857;2040964,28571429;2587888,39285714
3008542,98642534;2028886,87782805;2638484,16289593
2731077,98165138;1981334,86238532;2740977,06422018
2777092,16589862;1915714,28571429;2917760,36866359
2733976,85185185;1897833,33333333;2689226,85185185
2912990,74074074;1820194,44444444;2527175,92592593
2991711,62790698;1940413,95348837;3087781,39534884
3129718,30985915;2035450,70422535;2967779,342723
2850514,1509434;1971268,86792453;2804240,56603774
3035247,61904762;1940261,9047619;2463223,80952381
2691980,6763285;1909024,15458937;2839309,17874396
3070560,97560976;2140556,09756098;2975521,95121951
3014960,3960396;2036371,28712871;3013128,71287129
2901366,33663366;2013514,85148515;2633321,78217822
2816960,3960396;2030990,0990099;2985316,83168317
2580910;1923075;2897015
2795055,83756345;1994177,66497462;2666274,11167513
2903139,17525773;1879139,17525773;2632623,71134021
2873447,36842105;1926521,05263158;2735963,15789474
2881739,36170213;2042409,57446809;2791335,10638298
2623923,91304348;1882472,82608696;2464483,69565217
2706544,44444444;1869561,11111111;2542544,44444444
2818280;1907171,42857143;2656937,14285714
2889235,29411765;1928611,76470588;2949700
2994103,65853659;1868134,14634146;2926018,29268293
3088050;2072618,75;3023462,5
2921141,02564103;2077948,71794872;2751519,23076923
2707967,74193548;1890083,87096774;2676541,93548387
2669611,84210526;1832302,63157895;2965000
2708671,05263158;1779164,47368421;2742059,21052632
2687704,69798658;1913483,22147651;2703536,91275168
2971547,94520548;1822520,54794521;2562458,90410959
2706130,1369863;1898705,47945205;2622500
2830178,08219178;1795369,8630137;2575849,31506849
2524248,27586207;1819882,75862069;2665158,62068966
2446979,16666667;1804812,5;2631402,77777778
2489230,76923077;1713895,1048951;2414748,25174825
2493901,4084507;1795830,98591549;2902866,1971831
2391791,36690647;1833381,29496403;2589690,64748201
2891277,37226277;2073686,13138686;2515394,16058394
3153044,11764706;1895529,41176471;2638044,11764706
2743614,81481481;1947355,55555556;2324000
2871776,11940299;1767940,29850746;2526320,89552239
2616656,71641791;1898761,19402985;2544716,41791045
2802654,13533835;1991127,81954887;2535503,7593985
2334492,42424242;2012007,57575758;2319537,87878788
2760666,66666667;1868310,60606061;2619090,90909091
2571297,70992366;1908465,64885496;2862679,38931298
2490931,29770992;1845679,38931298;2591473,28244275
2512884,61538462;1658976,92307692;2598853,84615385
2567891,47286822;2218689,92248062;2731759,68992248
2633187,5;2115656,25;2729132,8125
2872468,75;1883093,75;2784593,75
2784616;2132520;2647912
2962272;2157344;2886600
2432161,29032258;2062661,29032258;3115669,35483871
2760918,69918699;2228097,56097561;2993252,03252033
2889483,33333333;2218433,33333333;2958733,33333333
3184775;1895050;2532133,33333333
2791550;2023550;2409875
2889158,33333333;1762291,66666667;2350408,33333333
2996170,94017094;1829965,81196581;2463991,45299145
2980785,04672897;1942439,25233645;2325579,43925234
3001080,80808081;2046686,86868687;2753222,22222222
2771107,52688172;1972989,24731183;2377000
3630023,52941176;2123917,64705882;2988117,64705882
3505869,04761905;1943797,61904762;2756678,57142857
3650387,5;2072525;2742400
2703364,86486486;2179959,45945946;2658554,05405405
3145085,71428571;2150328,57142857;2813942,85714286
3576264,70588235;2317500;2440808,82352941
3780666,66666667;2565616,66666667;3159283,33333333
3271789,47368421;2183070,1754386;3054122,80701754
3881928,57142857;2070535,71428571;3123732,14285714
3433038,46153846;2002038,46153846;2890980,76923077
3202208,33333333;2228750;2936208,33333333
3422477,27272727;2510000;3492840,90909091
3519348,8372093;2245511,62790698;3222162,79069767
2814333,33333333;2852452,38095238;3207642,85714286
4034619,04761905;2122809,52380952;3147738,0952381
3594707,31707317;1902804,87804878;2822170,73170732
3696179,48717949;2684717,94871795;3143051,28205128
3676894,73684211;2711342,10526316;3339447,36842105
3720236,84210526;2314789,47368421;3475657,89473684
4081914,28571429;2255914,28571429;2758600
4265542,85714286;1885857,14285714;3401085,71428571
4370727,27272727;1807151,51515152;3088848,48484848
3766272,72727273;2192303,03030303;2798848,48484848
4643181,81818182;3100909,09090909;3566515,15151515
5400484,84848485;2673090,90909091;4240666,66666667
4744666,66666667;2796800;3412033,33333333
3862633,33333333;2802366,66666667;4026566,66666667
4353307,69230769;2672769,23076923;3508923,07692308
3850692,30769231;2329961,53846154;2726461,53846154
3913680;2822840;3884920
4888000;3112240;3685680
3985458,33333333;3069041,66666667;3109833,33333333
4369043,47826087;2289652,17391304;3190826,08695652
3426434,7826087;2087695,65217391;2916130,43478261
4211714,28571429;3258380,95238095;4037380,95238095
3215222,22222222;2213500;3567888,88888889
3717000;2800166,66666667;3260500
2845000;2123333,33333333;3521444,44444444
2859384,61538462;1563615,38461538;3830461,53846154
4013545,45454545;2273636,36363636;4362636,36363636
2093100;1516900;2867300
2433857,14285714;2076857,14285714;2359000
2500200;3081000;4215200
2723500;2904750;3236250
2338500;3967750;4514250
2671500;3936250;5326750
616750;2187000;2015000
1918000;3541333,33333333;3711666,66666667
4244000;3073000;2409333,33333333
1765000;2441500;2010500
1760500;2401500;1676000
1303500;2230500;1517500
657000;2514500;1086000
468000;2052000;1187500
1380500;4140000;2087000
1828000;4402000;2553000
1897500;3841500;2533000
1611500;3833500;2027500
815000;1396000;1076000
129000;156000;124000
1815000;2110000;1719000
3062000;3566000;2910000
3584000;4175000;3396000
3236000;3752000;3077000
2118000;2486000;2018000
500000;573000;472000
1239000;1440000;1188000
2687000;3122000;2548000
3497000;4060000;3319000
3461000;4018000;3282000
2608000;3019000;2465000
1119000;1306000;1060000
632000;728000;592000
2226000;2606000;2109000
3287000;3829000;3120000
3562000;4139000;3390000
2997000;3496000;2843000
1704000;1963000;1619000
