R;P;T;RMinus;PMinus;TMinus
36620,0723936186;79254,3002713457;41877,6055846094;41;57;27
33389,8423271373;62368,8129596226;40283,3253557234;41;51;43
35772,6633387974;72438,7166589231;42270,7261006881;26;58;22
29519,2304767315;62070,8509036333;36234,2612005381;17;45;11
34654,2573713322;70980,2235223829;39035,0011385102;42;62;42
31404,7654625113;60789,2005170911;37497,041405238;41;63;47
32790,0266714046;65950,1292507311;39153,3266002395;29;47;23
30190,4338273952;58163,251718511;35866,0345846711;53;53;41
30663,6517974119;60015,9426993508;35592,7810996968;29;47;13
29699,4103766364;58432,1926599039;35603,0381657368;39;51;37
31484,7077999063;59425,3182368071;35699,3088047193;32;38;16
27189,7851560814;55093,6718859594;33961,4654875697;39;45;41
29641,2965865189;56844,3228036259;34542,4711164839;28;42;8
28731,3884661414;52718,2461747256;34779,2406171885;26;20;30
28806,9673559255;58253,8964894229;32565,8521482972;32;48;10
26947,901428267;50118,9699473714;33936,7553387132;22;20;26
29141,8015256609;57450,9979882013;33160,1494646072;28;38;14
25236,4336158109;50565,551009782;32543,1732464526;30;26;28
28742,4840243287;54378,7668993429;30265,3622847949;21;37;15
26048,4766411958;49859,3819251119;32507,8061395339;20;18;28
28501,2126076896;53751,9515812712;31262,5601253869;21;37;13
23584,0051569694;46729,0976224068;30335,1384962033;36;24;18
29341,9248390198;51850,0677055946;29107,9111539401;30;32;16
24511,8319646662;45989,9371917526;31096,2233819342;32;10;24
28866,879402959;50863,5824530752;29834,5974799708;24;22;4
23002,0969362513;46331,4205926514;28824,0209963989;24;12;18
27578,4507623455;51022,6268560422;28897,4954079238;19;31;11
24091,3977573734;46875,078014008;28805,1292089175;32;18;18
28339,3461789098;52283,0701180294;29900,1618970148;17;23;5
25826,9527736505;48431,2795325385;30154,0331772698;26;12;18
25599,0061925252;48994,268444909;26545,4100549486;0;14;2
25606,131754415;48315,799619768;29605,0908130566;21;9;23
27611,3640682317;50367,6799791861;28962,170335355;14;14;0
24987,5962480186;47289,92399177;29131,2029222129;28;22;12
24453,2697412562;47854,4489497432;26421,4051201856;17;1;15
24258,1681957104;45584,8879723443;28204,8027728045;21;23;19
25332,4282249508;47151,8158500499;27502,3922486269;11;3;-1
22633,9832092751;46031,7769838872;26231,2131772806;19;17;15
24441,6625955105;46510,4358153343;25770,7855119109;8;6;8
22008,5817116565;42248,6822795718;25989,1438037542;9;5;17
23040,160014319;43643,6153819675;25677,392852541;12;4;-6
21482,6705229224;41800,106080094;25919,3225941232;21;11;9
23968,3803820106;45501,2022241732;25624,4888955713;3;3;11
22273,9502280188;40332,2010858254;25345,3491841301;18;6;8
24057,583452645;45312,5058363575;26052,1281386553;14;0;4
21943,2139846026;39035,2805857254;24937,14421935;18;10;-6
21581,1197100672;46496,6208767069;23223,3788600132;-2;-4;-4
21660,1291588231;43825,824560065;25276,3973067434;12;16;8
21049,0389311799;44238,4871321146;22863,2241410787;-1;-19;-9
22310,4433393736;44919,615248345;26098,2894325944;29;29;9
22059,3333049121;43898,3374892226;23671,6283338392;1;-21;-7
20571,7601573839;46765,5558167904;23951,4178315609;19;41;11
21343,232125247;41152,5322358873;22184,0739306697;6;-16;0
20808,1322783011;44029,926872536;24720,2273989077;12;34;10
21448,5667808896;39048,8537410918;23712,2294596354;5;3;-3
21490,7966120793;44104,6819792527;25609,0705647102;20;22;4
20836,2145262042;37206,6697832126;23166,0493075917;5;9;3
20780,0056307629;40274,1269112019;24347,0070557257;11;23;-3
21142,9632710736;35916,9909383215;24610,6985299467;-1;11;1
20745,2567166415;39349,0189085681;23835,1062252931;17;7;3
21332,561296286;35996,4277746456;24934,7811842456;19;15;15
20240,0781282124;37774,4371043155;23046,3032541375;5;3;-3
20942,6746986143;35076,3343230217;24483,6733592864;13;7;11
20219,6238482968;38954,7114502624;23099,321848775;-1;-3;-1
22551,9458234123;34651,857059093;25778,6198588168;-3;1;-5
19807,337673534;37866,7760444988;22913,7748367136;8;4;0
21945,0341491699;35980,5244764848;24789,5383210616;-2;-6;-4
19808,5880861504;38237,4191268211;24194,1001146893;6;2;-4
21790,8110238938;34212,1518845331;24749,113037836;4;-6;0
19506,1265087593;34909,2104894126;22725,6872789336;0;4;6
22454,7682182312;37068,93695755;24730,1727859497;-4;14;-2
20449,5069616739;35408,8658363169;22888,9714894481;5;5;-5
22448,4946124585;38028,0529241686;24563,6614348176;1;5;7
20820,6432014974;38536,6614770508;23139,6933192952;9;19;5
20690,3738916016;38858,2775349935;23926,5023242187;-5;7;1
21314,1068624548;38363,3265562315;23488,1288710929;10;24;4
21253,8226376095;37070,379136369;23327,4539407266;10;4;8
20964,644253705;37578,8370661607;22666,7313347894;10;24;2
19852,7332507984;36499,8784373515;22256,5808204445;4;-2;0
19389,5988532401;35116,3655416128;21606,0127604717;6;26;4
19353,8340328687;33228,0298236168;20559,3959250254;7;-3;3
18522,6956307093;34996,0908737183;20644,354701572;8;22;-2
17045,2279804928;29330,9489247497;19401,8637379928;3;7;13
18394,065057459;34748,4723080917;20077,4593841123;5;21;3
18848,078893716;29688,0725758961;20310,4768559047;4;2;0
18306,4291067941;34945,3459481376;20840,8701163156;-4;14;-2
18802,1015803746;30229,0548224313;19963,3344390869;2;-6;2
17833,8049425125;35858,917590986;19713,4013888768;12;18;10
17460,8028094348;31718,4855149213;19305,3751736809;-4;-4;8
17394,7684981402;37279,4696745031;19749,4228075813;-2;16;6
17021,9607617927;32933,7188415527;18352,6256608385;-4;-2;4
17496,0206058387;35010,7895498565;20284,387304595;4;6;0
17037,5047027126;30516,5051163182;17483,5566696976;14;10;12
18369,2999520302;32454,7387428284;21529,6165198982;10;18;6
16808,6641741556;29556,2315048944;17782,9310689654;11;1;17
16719,5735393032;29368,8164653163;19803,0340019964;16;20;2
16976,7673905896;27328,8509162165;17639,2322300326;2;2;8
19092,0702069392;29706,4351609027;21228,6834966941;9;5;3
15055,3784138997;27992,5577189128;16108,4995849609;14;2;10
17022,7080751616;26505,411692126;19946,2576038098;10;8;4
13465,6163847787;26243,1886509487;14581,1941680908;6;6;4
17674,8977930242;26830,9592429421;20841,7907476252;-1;5;1
13842,8398833098;23928,6510891385;15377,3366524025;6;-2;-2
16808,0191222857;25917,6190461932;19502,2175851498;1;-1;-5
14916,5034722721;25499,376649146;16305,6091452206;-3;-5;-7
17031,0720621745;27268,1938404756;19944,2178093405;-3;3;-5
13195,635257347;25838,5510032504;13683,5032318714;-3;-7;-7
15506,4355688477;27271,5607427979;17834,0946411133;-4;4;-6
13626,3697011566;24950,7198156738;13609,5985498047;-4;-8;-6
14649,8546374512;26511,2404858398;16739,9889257813;4;6;6
13988,4471380615;21879,980718689;14751,1158300781;-2;-14;0
15927,3026512302;28476,865282954;16811,5240923823;-1;9;3
14015,8605532439;23467,6832129437;12976,4541174847;-2;-10;0
16278,1487984035;27045,4032692287;17663,4337131666;6;8;8
14183,1106010105;22405,6223861031;13460,8311847189;0;-12;0
17231,3541932313;28937,0951730479;17632,9295561417;4;0;8
14903,7861898671;23983,6795946204;14662,3080510679;2;-8;10
16580,4136861165;29430,5644829644;17690,6332607693;-3;-3;3
15671,7788425022;27255,2277479384;13703,5450681898;-1;-9;1
17008,3260421753;31239,7097246037;17193,1738976767;1;1;5
15433,2565597906;29685,4622892054;14314,0668543374;-9;-13;-9
17259,078924717;30782,4816112029;18294,0418246343;-3;-7;3
19203,0322216137;33757,0676401499;17222,6782457506;-7;-9;-5
18472,589790138;29085,1954069395;19501,6617415145;3;1;-1
15057,2576760186;30045,6525327894;14618,0824741787;-4;-12;-6
15314,7794672648;26825,7443101671;16765,7092758815;-2;4;-4
14423,5427394194;27138,0230730842;14422,8401668773;-6;-2;-2
14972,568759245;24884,441027473;16324,7643381007;0;8;-6
16228,0130430279;28167,0591967034;15181,3934585109;-7;-11;-5
15219,6501594312;22842,5281353575;15784,9110421845;1;5;-1
16793,8385046757;26999,2933275627;16706,0658319647;-11;-11;-5
13369,7763622168;21513,857791785;13936,1054962621;-3;1;-5
12352,4125541918;21883,507248734;12269,7192715154;-3;-5;-3
12647,9297522343;19774,3043286873;12541,9981675581;5;5;1
13516,0510884603;26508,6115361532;12302,0740783691;-6;-12;4
14956,7152099609;21894,5190104167;14486,4579284668;2;-2;4
12612,8408673604;25381,868951416;11304,2503295898;-6;-14;-6
14198,9815887451;23181,9336140951;13658,1317489624;4;4;2
10339,2699025472;23351,3384803136;11030,0380513509;-6;-8;-2
16256,5115443638;19391,0949663435;15340,7053702218;0;6;6
12116,649597168;20968,236567906;10334,6273127965;-8;-6;-4
17983,4722596577;22219,4960588728;16186,4178336007;4;2;4
15196,1977527325;19138,9233586238;14594,1090463492;-2;-4;4
20388,6391836313;20767,5205993652;19848,1882253794;2;6;6
13260,5517167311;18589,2099609375;14520,315223107;-8;-2;-4
18320,9401974487;22005,1339624023;17150,8942138672;1;3;3
13209,3788195801;22000,6357324219;13855,3199572754;-1;-5;-3
18453,5618237305;21712,6584765625;17299,4538293457;-3;3;1
13591,4232324219;19960,5739257812;15128,7315142822;1;-5;-1
14760,421751709;18195,0836401367;14872,5295849609;-3;3;-1
10364,0123456319;19294,3740590413;11884,2151285807;-10;-6;-6
14489,4162495931;20081,5022125244;14867,1846359571;-4;2;-6
12775,2712693648;16930,8627499667;14885,9555553089;-10;-8;-8
14402,4186459496;19643,3052310035;15147,69976516;-1;1;-1
9485,95658075242;14176,5416782924;11074,4442138672;-1;-1;-1
10503,5597900391;14267,0887283325;12261,2334594727;2;6;0
10504,5346711811;18164,333515368;11407,1144986404;-9;-1;-7
8012,25974313836;11376,1673616108;8609,28850354646;-3;3;-5
10522,4692687988;16415,0859824733;9763,12972861842;-3;-7;-1
5830,97699376156;14844,6743356805;5883,04784453543;-3;1;5
13570,1118469238;19395,5319620768;12662,4577907986;4;2;0
12743,1148573932;22328,3155930463;12887,8832433364;-1;-1;1
11507,0062022209;22228,8967666626;11336,5387496948;0;-4;-4
11210,5873680115;20581,1828994751;11173,670791626;0;2;2
14360,9481430054;22021,4397659302;13784,8216323853;-2;0;-4
12625,706535848;20943,3747233073;13530,5295084635;-5;3;-1
11729,5274943034;14764,8126627604;11182,3209920247;5;1;3
15522,7201592582;16334,2210170201;16742,7091936384;2;4;0
12700,5693003337;16041,3927942912;14697,7950236003;-4;-6;-2
16973,2814127604;19652,959391276;18060,6990966797;-2;2;-2
10728,417952104;15786,4814647328;10148,6699274237;-5;-3;-5
18552,8333296342;19652,3309437145;18895,9477539063;-3;1;-3
12007,7726384943;12061,4558868408;12611,8109540072;-1;-1;-7
16837,2961398038;14785,73828125;16714,7873202237;-1;-1;-1
13673,3619717685;16580,9048295455;16098,2809392756;-5;-3;-5
18833,6761962891;20443,2689697266;19141,6251831055;2;0;2
12739,1574890137;12946,7182983398;14397,8358276367;2;-2;0
19190,1807128906;13215,2891540527;17833,9116455078;0;0;0
15657,0189941406;12752,7203857422;16779,1193847656;0;-6;-2
17747,0842895508;15345,9743835449;17505,1789199829;-4;0;-4
11129,0968994141;13590,5755371094;12611,7225830078;-2;-6;-2
14639,1285552979;14765,4718811035;14091,6243896484;0;-2;0
12811,5163238525;12368,2343261719;14597,4795166016;4;-2;2
18849,2333870888;11563,6715881348;17191,3672729492;-2;-4;-2
12063,3131591797;15327,8804931641;12197,7759643555;0;-2;-2
15824,1309234619;10442,6780487061;15691,3773654938;0;0;-6
12123,5430541992;11072,9338134766;14135,1716796875;0;-2;-2
13235,3035549588;9452,47398546007;13768,2197028266;-3;3;-5
17056,5306532118;9593,85340711805;16801,3407931858;-3;-5;-3
21306,3549804688;11837,0880050659;20938,9727172852;-4;0;-6
21249,9555664063;14341,8860931396;21395,0432128906;-2;-4;-4
21219,1630249023;9890,80267333984;21110,8010253906;-4;-2;-4
13482,8283081055;15716,2247009277;14818,4247970581;-2;-6;-2
14424,6465454102;11319,0038757324;16799,2473449707;-4;-4;-4
20641,7585449219;14774,0376205444;21310,9762573242;-2;-4;-2
18031,8408508301;15495,6053848267;19430,7262573242;-2;0;-2
17780,6170654297;15784,2688312531;20017,5614624023;-4;-8;-4
12584,409362793;9679,51708984375;13350,2479553223;0;-4;-2
10397,596282959;15533,2476387024;12985,0503845215;-2;-6;-2
10683,7367902483;12660,1507761819;11885,1039515904;-1;-5;-3
10469,4150797526;12939,8707885742;13649,0354410807;-2;-4;-2
13634,0345052083;13768,2005615234;14914,1511433919;-2;0;-4
8404,09675089518;8393,89575195313;11181,5848948161;2;-2;0
9808,81674804687;7349,03857421875;12288,5380859375;-3;-1;-3
9236,09357299805;4290,98964233398;10877,2909179688;-1;1;-3
14576,1961914063;3927,25659179688;14748,7097167969;-3;-1;-5
15494,9520507813;8618,73051757813;13652,8548034668;-1;5;-1
13763,7969238281;6724,18352279663;12591,0439025879;-3;5;-3
15235,440625;9480,44921875;14108,3328308105;1;5;-1
8768,53612947464;11238,3342773438;10720,8143554688;-3;3;-3
12852,6164794922;12257,0026977539;12254,4801269531;1;3;1
8983,6669921875;9570,5095703125;10962,2576171875;-1;1;-1
14067,319921875;11273,7627929687;13964,7975585937;1;1;1
8747,04113769531;11322,1418457031;11007,5269775391;0;0;0
17191,1901855469;11415,7062988281;17400,7166748047;4;2;4
14150,6996459961;4535,36901855469;16252,3804931641;2;2;2
18189,1340332031;6669,47470092773;19208,7194824219;4;2;4
