R;P;T;RMinus;PMinus;TMinus
37463,7516310106;70176,6241766553;25597,2125477922;30;-64;-30
34921,9774371581;57321,9741514681;23933,2093950101;45;-25;-15
39258,7289166405;68034,479512805;24972,3443549389;42;-70;-22
34610,8135530407;55282,1054097788;23364,391366673;21;-35;-15
36534,0976004624;63890,1533701827;24787,9499264415;41;-65;-23
33585,5987794791;55348,5656530276;22733,6589692529;39;-35;-7
36620,0723936186;64500,3712032836;24418,8282963696;41;-63;-23
33389,8423271373;52090,9186421506;22239,9371313879;41;-37;-13
35772,6633387974;62316,0922172702;23332,6828526088;26;-66;-18
29519,2304767315;49749,9459011958;21482,3631477552;17;-37;-7
34654,2573713322;58347,6050901905;22282,5730911334;42;-64;-18
31404,7654625113;47764,7292034564;20644,9809357638;41;-41;-1
32790,0266714046;55289,6331050533;21391,0554999906;29;-35;-9
30190,4338273952;49245,2408537688;19881,1049859789;53;-35;-1
30663,6517974119;51232,5406279844;20294,9708506946;29;-35;-13
29699,4103766364;48347,4453765044;19408,9148082836;39;-37;-1
31484,7077999063;50453,0991810923;19487,1587242458;32;-28;-12
27189,7851560814;45339,3864655047;18620,1169173941;39;-19;3
29641,2965865189;48753,3427946969;18912,1118692548;28;-38;-4
28731,3884661414;44121,552666209;18053,3136222755;26;-18;4
28806,9673559255;47366,1382842667;17958,1950680524;32;-40;-6
26947,901428267;42414,1513127172;17063,5351213189;22;-4;0
29141,8015256609;46452,1196559724;17632,9520309993;28;-36;0
25236,4336158109;43670,921344803;16480,8481083146;30;-8;2
28742,4840243287;43958,8359423678;17007,3261486826;21;-35;-5
26048,4766411958;42405,9723910108;15887,6568441273;20;-12;10
28501,2126076896;44378,4423459611;16526,8141229977;21;-29;-5
23584,0051569694;40337,4856077341;15290,9578230442;36;-4;8
29341,9248390198;42670,3756678655;15784,830992283;30;-18;0
24511,8319646662;39323,4401319925;14351,0279819439;32;-10;10
28866,879402959;43161,7593149762;15208,3018590737;24;-18;2
23002,0969362513;38448,0009342448;14041,7622333272;24;-16;18
27578,4507623455;42905,9845744907;14593,3051272783;19;-23;-1
24091,3977573734;39384,186339914;13675,1820306386;32;-16;10
28339,3461789098;43436,3348620185;13932,8177778047;17;-23;-3
25826,9527736505;39729,7456359863;13603,4616974725;26;-12;14
25599,0061925252;41422,9161059062;13087,3967956967;0;-18;2
25606,131754415;39062,3637020938;13048,7901666844;21;-13;13
27611,3640682317;39344,4408303966;12983,5494540671;14;-2;-8
24987,5962480186;37151,5029367938;13008,3306403817;28;-22;10
24453,2697412562;37617,613792815;12436,8273803711;17;-5;-11
24258,1681957104;37212,3795333297;12836,5737913909;21;-15;7
25332,4282249508;36729,5166579082;12072,3013561794;11;7;-5
22633,9832092751;36981,7823379167;12603,442036505;19;-13;7
24441,6625955105;36542,5820981264;12447,9621604979;8;10;2
22008,5817116565;35377,4859032819;12534,2452199065;9;-7;5
23040,160014319;37244,434238343;12244,7469126383;12;4;-4
21482,6705229224;35550,6325574425;12602,0715986733;21;-7;1
23968,3803820106;38362,6328913991;12268,603194198;3;9;-1
22273,9502280188;34389,4876749007;12345,6340397069;18;-8;4
24057,583452645;37407,6932848914;12453,8936362186;14;14;0
21943,2139846026;34600,7842298605;12052,0537269722;18;-6;8
21581,1197100672;38396,5405444441;12377,9848383213;-2;20;2
21660,1291588231;38624,7539501525;12026,09932344;12;-12;14
21049,0389311799;36816,2362535865;12283,5922408653;-1;21;3
22310,4433393736;38116,0277329522;11994,2820598843;29;-29;15
22059,3333049121;35237,2491720389;12037,0883521003;1;19;-5
20571,7601573839;40975,3041918693;11750,4607879919;19;-39;15
21343,232125247;33667,7852437055;11867,2427478366;6;16;-6
20808,1322783011;39570,3963305862;11344,1066286652;12;-42;18
21448,5667808896;32496,6563007173;11524,1985109057;5;-7;-5
21490,7966120793;37821,0293637789;10902,973841227;20;-26;16
20836,2145262042;33839,6969477089;10971,9498072226;5;-7;-9
20780,0056307629;35324,2455188481;10783,4624904286;11;-19;11
21142,9632710736;34900,8854998964;10513,548638392;-1;-5;-7
20745,2567166415;32921,1741222035;10029,842560508;17;-13;13
21332,561296286;33271,5263146469;10158,7498124506;19;-7;-11
20240,0781282124;32765,6412144711;9861,17173622533;5;-1;23
20942,6746986143;32677,1425857544;9833,12111343876;13;-3;-17
20219,6238482968;33496,8752310617;9651,1260402386;-1;-3;29
22551,9458234123;32346,4847672709;9600,48602620671;-3;1;-15
19807,337673534;32413,6349327781;9504,74169663949;8;0;26
21945,0341491699;32651,3762626648;9252,26873754913;-2;8;-16
19808,5880861504;30769,5865691429;9528,95556259155;6;6;20
21790,8110238938;32633,0329302833;9302,91633796692;4;6;-18
19506,1265087593;27390,562454968;9632,01811218262;0;-6;20
22454,7682182312;31954,9479850769;9215,19761927128;-4;-2;-18
20449,5069616739;26415,5709921106;9752,73289430296;5;-15;15
22448,4946124585;32367,9956575369;9311,8472372278;1;3;-17
20820,6432014974;26923,6065738932;9506,44730779012;9;-25;15
20690,3738916016;32527,9549161784;9414,16735671997;-5;3;-11
21314,1068624548;26721,1500120421;9163,55319997427;10;-20;14
21253,8226376095;32514,4195721601;9257,79814423741;10;6;-10
20964,644253705;26844,5285265124;8449,53033088993;10;-26;16
19852,7332507984;30762,39068686;9057,52506632418;4;4;-14
19389,5988532401;25150,5329383644;7770,14775271029;6;-28;10
19353,8340328687;28644,1504182162;9082,24890711536;7;-5;-17
18522,6956307093;25081,2443618774;7158,25142436557;8;-26;12
17045,2279804928;26803,1649427817;9105,7875049215;3;1;-15
18394,065057459;26328,3970478756;6794,20083489217;5;-23;13
18848,078893716;24384,2388907296;9229,56159700666;4;2;-12
18306,4291067941;27249,2908560617;6747,33434055873;-4;-12;8
18802,1015803746;22696,2502284459;8934,64235098703;2;-8;-10
17833,8049425125;29130,6761195592;6717,79827488491;12;-20;8
17460,8028094348;24279,9353481742;9133,09691709631;-4;6;-12
17394,7684981402;30162,7587172564;6897,13366160673;-2;-12;4
17021,9607617927;23481,0134973815;8954,94293501883;-4;-2;-10
17496,0206058387;27516,6161964879;7001,24014756174;4;-14;8
17037,5047027126;22041,4191931522;8462,71778184717;14;-6;-12
18369,2999520302;26025,9634685516;7061,92089545727;10;-16;0
16808,6641741556;23284,1299898662;8354,62635488359;11;5;-11
16719,5735393032;24428,5148915937;7403,58841348463;16;-20;4
16976,7673905896;24085,6712740006;7839,67773966635;2;0;-14
19092,0702069392;23838,2620369333;7025,61260592351;9;-11;5
15055,3784138997;23878,3759195964;7529,55810305277;14;0;-8
17022,7080751616;23628,6834066983;7349,88252166222;10;-8;4
13465,6163847787;24003,0265197754;7556,92791911534;6;0;-6
17674,8977930242;23438,8477608421;7521,40693248402;-1;-11;3
13842,8398833098;21772,3833543283;7183,0162387424;6;2;-2
16808,0191222857;21595,0033626916;7541,77311992645;1;-5;3
14916,5034722721;20303,4357366375;7323,18599685968;-3;1;-3
17031,0720621745;22389,8486956428;7464,75023621204;-3;-5;9
13195,635257347;20782,1840944477;6900,78479736927;-3;3;-1
15506,4355688477;22940,496242981;7182,74180458069;-4;-8;8
13626,3697011566;19284,870647583;6782,08575790405;-4;6;-4
