R;P;T;RMinus;PMinus;TMinus
73638,871529025;68441,4644976564;74286,2886189641;-368;-312;-352
61148,2365218884;58816,824678421;62794,4635062347;-286;-216;-266
74008,7194543143;68578,4568518046;74583,3748230676;-364;-302;-350
60847,7398942355;57763,9530596862;62134,2537179509;-302;-222;-290
72804,3548734043;67123,7189134392;73401,7958641052;-368;-326;-346
59790,0618483376;56188,0303948377;60574,5716735479;-302;-248;-294
70921,247317675;66122,5819688101;70795,4436295741;-386;-342;-372
58110,4185647191;55367,6251895621;59142,3121489963;-310;-256;-294
68649,3909518892;63485,8317374344;68788,9699200987;-383;-357;-377
54780,836881118;52181,9235897807;55716,6328839142;-323;-255;-307
67343,7935097528;62672,3338553853;67085,9878804421;-389;-355;-385
54943,3057155835;52282,9080138489;55596,0542608155;-341;-267;-323
65232,860647379;60840,204560204;65528,3700786726;-391;-347;-381
55701,8664011173;52903,4933497369;56651,1595282062;-339;-263;-313
64683,8946938137;60276,9621570671;65071,4729381632;-373;-321;-349
55958,8793720691;52955,9530137412;57225,4620274061;-313;-249;-281
63987,5459444478;59590,3037265319;64730,6567894537;-353;-331;-337
56615,9068460497;53787,2094494965;57599,3746253903;-304;-254;-286
63039,4985611479;58779,9899182853;62964,9694771977;-362;-332;-350
54667,3247303074;50566,9777136948;55059,2019825822;-284;-254;-278
60871,3155228954;56299,4148915695;61221,0468951468;-348;-316;-338
51615,4482910156;48599,9208565405;52433,7298170445;-290;-254;-272
58250,0490453171;53616,0460991294;58653,1320734315;-344;-300;-328
50561,1911763595;48044,5035855568;51092,3427757586;-268;-212;-256
55255,4150377952;51395,6926826865;55215,242417384;-330;-306;-330
49330,8203904297;46551,2578906043;48916,0577816656;-246;-194;-234
53996,6991105419;50502,8587248204;53321,9378603402;-308;-266;-316
47283,1457993911;44611,4348569708;46608,8479667987;-238;-200;-250
50367,2082216812;47295,4970580537;49825,1226566056;-306;-260;-312
44269,7429398747;42301,3812321776;43435,5683568405;-252;-194;-248
48158,4533083609;45411,7481400959;47284,501822158;-306;-256;-308
42464,3481387122;40553,3393870532;41949,2335539478;-278;-234;-272
46257,7840798847;43192,5592101792;45718,756018325;-342;-292;-332
41539,2154575671;39432,6010332722;41134,2407565618;-276;-206;-264
45503,8032788875;42888,8157905708;45352,810582953;-344;-290;-328
41268,6810022904;39462,0235171431;41540,7203146207;-316;-250;-308
44986,9266333887;42455,1958265765;44882,5560342203;-356;-306;-356
40035,3556787846;38742,9421475718;40847,992167586;-314;-228;-278
43525,4789137759;41091,177370052;43896,9453813715;-360;-310;-342
39622,8323508117;38215,7173925222;40404,539385023;-302;-240;-284
43373,5227584063;40868,4022781889;43879,0298130359;-356;-302;-350
38845,2213371469;37035,1254193096;39454,668713728;-276;-230;-270
41752,6940578008;39025,6555825508;42319,4968064648;-334;-294;-332
37990,2588759341;36227,9391235998;38636,2887798762;-314;-240;-294
40961,8134928041;37954,0768079661;41292,106096688;-364;-310;-352
37038,2747352212;35029,0627130864;37634,8556948484;-290;-232;-296
39813,6597493834;37040,2455764043;40129,8351872355;-338;-298;-330
36593,1299505737;34408,5952704349;36967,3408745976;-310;-244;-290
39535,7601751812;36972,8999273268;39791,6370135291;-358;-296;-350
37161,3660841861;34809,7901537491;37347,3830759145;-308;-270;-302
39825,3625328969;37131,4222746833;39612,1194110903;-366;-310;-338
37037,8836318323;35038,5662170022;36925,8097157737;-320;-266;-310
40519,8249095076;37937,2706411329;40268,7020551197;-356;-316;-346
37634,1970599676;35444,7211265887;37612,090522042;-330;-268;-318
39732,8295468864;36905,0222910218;39467,4287819814;-366;-332;-348
37060,7572953596;34879,1960009817;37363,3883826304;-316;-284;-292
39150,306640528;36409,9564208499;39111,1122838893;-348;-298;-336
36755,2679723061;34483,1114809069;37031,3755354413;-314;-272;-308
38481,8034263352;35625,5202212059;38408,8306724419;-320;-296;-318
35919,4429235943;33762,1289999428;36079,5224649656;-308;-262;-304
37490,1330083815;34815,4014419556;37671,1461481094;-340;-298;-336
35273,4795170703;32998,1768555851;35529,1095877437;-318;-258;-310
36638,0121877379;33937,782209661;36824,7421167859;-302;-260;-306
34040,2996559693;31906,3170887252;34190,5907576739;-314;-248;-292
35058,3072737872;32573,0782454733;35049,4540195918;-298;-244;-294
32770,3106420178;30932,5731478998;32885,9313859196;-270;-230;-258
33649,8324269311;31487,1659328913;33731,3425786228;-300;-240;-294
31679,199216146;29888,5566844358;31788,6906743971;-260;-220;-266
32431,1100406744;30704,833392935;32497,9777034896;-279;-241;-271
30306,9102780904;28764,4547977804;30340,6199040891;-245;-213;-243
29822,8526822529;28703,9771333704;29911,9099242335;-253;-219;-243
28037,582685979;27020,8273766069;28046,4515118898;-241;-223;-243
28564,0499425347;27573,5741817882;28582,8000951226;-263;-237;-251
27826,3410259613;26772,7305465627;27962,0015763249;-269;-223;-249
27796,2549954141;26934,40207398;27937,6197473497;-245;-191;-247
27162,8285305075;26493,5416764679;27266,8647601997;-257;-211;-245
27670,5265200215;26910,8247672455;27612,0673806655;-267;-219;-263
