R;P;T;RMinus;PMinus;TMinus
1262,04194335937;1071,17199783325;1559,10532226563;-5;-5;-5
2652,07755126953;2869,37631835938;2098,61868591309;-3;-3;-3
1266,04555511475;1490,10160522461;1489,65736083984;1;1;-1
1608,19086914062;1489,37763290405;1706,74274902344;1;-1;1
887,048892211914;1129,13737487793;933,384750366211;1;3;-1
1277,66774673462;1641,07813720703;1103,35023803711;-1;-1;1
1053,99258728027;1183,30914154053;950,100546264648;1;-1;1
1200,61749267578;1285,21148452759;1187,01116638184;-1;-3;1
2116,79934082031;2603,33134765625;1734,91398925781;1;1;1
1836,05040283203;1748,60483551025;1813,43551025391;-3;-3;-3
1782,72017822266;1821,46209716797;1771,81982421875;-3;-3;-3
1653,88683776855;1906,96797943115;1406,68645935059;-3;-1;-1
1002,51499023437;993,412504577637;1169,38974609375;-1;3;-1
1176,9655456543;1358,79724731445;1009,04154968262;-1;-1;1
1415,75992050171;1711,01139831543;1452,50993652344;-3;1;-3
1625,13920898438;1822,06887207031;1292,77221679688;-5;-5;-5
1029,21168212891;1199,74950561523;991,210009765625;3;3;1
1567,78052978516;1652,88430786133;1457,99934692383;1;1;1
981,746527481079;1227,04627075195;982,61651763916;5;5;1
865,783485937118;987,696760559082;685,877398681641;-1;-1;1
688,618954467773;914,301373291016;670,81556854248;-3;-1;-5
1788,07937011719;1923,9572052002;1482,54621582031;-3;-3;-3
770,00025177002;887,055944824219;1021,37569961548;1;3;1
654,845465087891;844,03278503418;548,162810516357;-5;-5;-3
1409,40664978027;1440,04407043457;1263,48352661133;-3;-3;-3
1496,80869140625;1624,7380859375;1255,72974853516;-5;-5;-5
1961,52473144531;1699,68626708984;2095,17797851563;-5;-5;-5
1859,67883300781;1903,47518920898;1703,18601074219;-1;-1;-1
1622,81601257324;1653,25385131836;1525,21234741211;1;1;1
1622,06418457031;1745,09860229492;1714,39608154297;1;-1;1
1541,81148681641;1565,86733398437;1315,43393096924;-1;-1;-1
1763,97658691406;1957,50092773437;1657,09165039063;-5;-5;-5
1747,14682617188;1633,44995117188;1738,06937255859;-3;-3;-3
968,646936035156;1001,37638549805;921,729092407227;-3;-1;-3
1087,69993896484;1323,23426513672;984,353372192383;1;1;3
956,687371826172;865,133529663086;1055,65417480469;3;1;3
1050,76931152344;1193,08601074219;785,494297790527;-1;-1;-1
1099,84359130859;1151,96357421875;1192,55426559448;-1;-1;-3
1486,34560241699;1333,24140014648;1599,57618408203;1;-1;1
1712,49133300781;1739,1709777832;1553,1963684082;3;3;3
720,526528930664;715,141635131836;956,691754150391;3;3;3
1801,12224731445;1880,23072814941;1810,46884765625;1;3;1
1206,53771972656;1348,45681762695;1080,32985534668;-1;-1;-1
638,157981872559;861,976867675781;659,035525512695;-1;-1;-5
641,19436340332;679,639045715332;351,853063964844;-5;-3;-5
1345,67154541016;1317,1496887207;1163,23209228516;1;3;1
1434,37094116211;1487,26266021729;1432,75675773621;-3;-1;-1
1191,00948486328;1227,12105255127;1351,28471069336;-3;-1;-5
1089,3258026123;1365,96911621094;775,910772705078;-5;-3;-5
1047,60823364258;1412,48945922852;1041,05198974609;-1;1;-1
917,731823730469;1069,57153930664;862,071057128906;1;1;3
863,512295532227;1059,34923219681;799,291564941406;5;5;3
1287,08775024414;1547,72663574219;834,860903930664;-3;-3;-3
1672,29552001953;1582,57534790039;1936,02578125;-1;1;-1
2106,75883789062;2256,95170898437;1849,57468261719;-1;-1;-1
1168,61982803345;1213,30481567383;1309,56382598877;-1;-3;-1
1234,16377410889;1137,69614372253;1179,77150363922;-3;-1;1
865,775366210937;930,797723388672;918,80393371582;-1;1;-1
1515,44356994629;1830,77077331543;1146,10668945313;-3;-1;-1
