R;P;T;RMinus;PMinus;TMinus
70062,7140691603;32350,3791729695;20148,9417852453;-58;14;-24
50521,2434457315;30039,2672679102;18327,3173634297;28;-16;26
74734,5735040098;31144,4100589237;19166,3753523955;-66;18;-24
47307,6076940588;29158,9227483595;17688,9180945319;26;-14;24
69484,3722097036;30282,0769267727;18549,5209628956;-62;20;-26
45603,3872622928;28477,1168037105;16887,6530314523;32;-16;26
67707,5632060283;29228,5912153914;17750,0308083199;-62;20;-28
40596,0802282385;27827,9397437637;16268,7923638112;34;-16;24
65601,0987152924;28368,9712440903;17113,0972100335;-58;20;-24
44905,8925096667;26560,2851147523;15832,9438986392;34;-10;24
64016,1171891496;27406,0774696969;16477,9119459616;-58;18;-22
41639,1990224477;25522,2046683028;15147,9491263725;34;-8;24
59540,7135240709;26423,0228437475;15896,9662135356;-62;14;-22
43535,7911220241;24492,9877572962;14673,773330173;32;-8;22
56582,4517550082;25263,6916846198;15248,5023824846;-60;12;-20
37839,0377048802;23755,9457711916;14199,3241187431;32;-6;20
53272,2110777159;24120,1652073216;14866,8582785323;-54;10;-18
38902,2386264286;22679,8799963642;13794,3058137636;34;-4;22
55844,64886391;23681,3974507998;14482,8912820685;-55;9;-17
42644,1131090138;21673,7004409163;13507,8991230351;21;-5;21
51809,012230442;22400,1874539101;13943,83688459;-49;9;-15
38269,490102585;20707,1701106241;12965,6301374044;29;-5;19
50990,140369154;21238,8858880866;13497,1648353942;-41;7;-17
40640,909183868;19873,4363967686;12432,4565072256;25;-3;23
50538,9128886184;20591,5862335832;12993,432058256;-45;7;-17
39587,8514830707;19449,4405325276;12041,5514854536;13;-9;19
50476,8077643408;19688,9679523625;12509,7401988408;-43;5;-19
41218,1144781243;18215,3268319744;11527,8173844847;17;-9;19
44463,31128933;18885,0680469095;12051,1160390148;-41;5;-19
34903,4175063878;17632,2885160054;11127,4930616405;13;-3;15
44303,675679246;17890,6897586143;11603,3514540163;-37;9;-17
34291,5367013592;17002,0103594636;10766,445056445;19;1;15
40794,0405373769;17470,12539213;11183,1533167591;-33;9;-17
35121,9629600211;16394,5875690408;10273,7120006509;17;-1;15
38794,6618259378;16824,4001172209;10780,9662003452;-35;7;-17
32068,3503165049;15943,324977718;9946,94148264846;15;1;19
39647,8564703954;16227,166501607;10300,1587190236;-41;5;-19
29562,1614639073;15267,2992632095;9587,87207637421;21;5;15
40037,0790697908;15629,5786610172;9889,28852363482;-43;3;-19
27574,2317124458;14666,1310806274;9269,77589113418;29;5;11
34828,4877553443;15361,7540401302;9604,92200846215;-45;5;-15
24379,7005289156;14467,2697133103;9036,43707975623;21;-1;11
35377,058491746;15196,7434888866;9235,19725182938;-53;5;-15
24825,9867102218;14185,4283500044;8815,30925249074;31;-5;9
34417,0592814406;14929,8973520357;9043,96512844138;-55;7;-15
25042,7532875375;13818,8484835167;8519,56212177015;35;-3;7
34005,1675640786;14708,3335530529;8653,60450676696;-57;3;-9
22852,6808747592;13663,984805695;8248,69662026183;27;-7;7
34717,3026591262;14520,4173897521;8438,59547230969;-59;7;-9
23860,6692538327;13606,3608735751;7988,44010496793;31;-7;1
33541,4797296393;14446,7423471947;8231,43238195655;-59;7;-7
22474,8375189794;13484,8212581269;7886,86780767571;35;-7;1
33812,7002354452;14232,7102548586;8067,84571901086;-61;9;-9
23490,865916631;13244,8827220577;7697,16326235418;39;-9;1
35012,4568732275;14058,0390089897;7969,41702416825;-67;7;-9
23796,1287808353;13102,0359819883;7582,71529069665;33;-9;3
33171,1703022996;13677,880978728;7708,49068607696;-61;7;-11
23687,1954157581;12817,3640263832;7333,03496494032;31;-11;5
34309,4499678938;13283,2935207315;7602,23341024739;-63;3;-13
21770,6147377328;12402,2340098603;7199,19344630307;39;-13;9
32350,201103315;12796,303267492;7446,99182651468;-59;3;-13
22187,0649915721;11792,0646786755;7094,28439702073;29;-9;9
28740,2630527444;12302,3906691042;7252,75424591483;-57;1;-13
21593,7017337329;11509,3610552174;6900,45223946767;21;-9;9
27474,9516885836;11884,0707037939;7058,92435589882;-53;5;-15
19356,2433275197;11141,5122448124;6673,10563429741;25;-13;7
25629,8082367361;11506,7341399519;6860,91288433336;-51;7;-17
19807,8073889327;10796,788429208;6516,14168778511;11;-15;9
24021,0777704944;11220,4906506146;6587,17332186764;-43;7;-17
18540,7361268344;10663,9493480839;6259,40606449075;1;-15;11
24870,4658880364;10933,1080088811;6430,07910616104;-45;7;-15
18580,4356881756;10451,1168499254;6054,96942661233;9;-11;11
22183,7822503913;10742,9679241442;6142,90779866258;-49;3;-11
18028,091770956;10410,8335373238;5834,12039299534;-5;-11;9
22237,4140883145;10579,1176384965;6011,54261366962;-33;-1;-9
19008,9986324833;10404,0642746181;5669,92159164115;1;-5;9
21462,4521149936;10790,5605391215;5870,95073490927;-31;-5;-7
21156,952928517;10642,1253455698;5539,32999770282;1;-3;9
23067,6184265973;10826,1593662941;5667,19063808493;-27;-3;-11
21950,7844767113;10836,224667327;5454,03847169223;-13;-1;9
23183,4130593914;10942,4335587384;5610,97551115898;-29;-5;-13
20797,6599637384;10865,304866216;5384,38474607468;-15;1;5
22314,9931019561;10854,7050771844;5563,35006989518;-25;-9;-11
21960,0717171447;10791,9118006719;5328,25726908854;-21;-1;5
23310,6129062862;10689,1215984658;5471,52793335588;-29;-13;-13
21987,8892521793;10770,0420541633;5216,0542269145;-23;5;5
22602,2673348205;10498,6787837303;5404,0649461093;-19;-7;-13
22950,8986109903;10639,9374731926;5122,26376233036;-7;3;5
23449,1835210095;10387,0742710976;5265,14644131595;-23;-7;-17
22289,3862142694;10461,4413074075;5098,48209984662;-19;7;11
22138,810781087;10347,7837091733;5195,32977085897;-13;-9;-17
21815,7006984345;10303,06497971;4987,57772618124;-13;3;7
21138,9076387588;10053,2988343957;5044,73822523143;-15;-7;-13
21571,0468357034;9975,31190831694;4859,4949380535;-19;5;7
20583,9774962125;9614,97161159777;4907,22178670805;-5;-7;-15
