R;P;T
16881,2913962274;32543,2074613358;17902,8528507318
17614,2465923504;37951,3901128995;17815,289915589
16247,9994408512;31833,2941902961;17073,1367499819
17273,6143662971;36956,9169022284;17033,9823005361
15803,6912648815;31482,8878419268;16417,0120289619
16865,9494306446;35930,8868481386;16511,9227188109
15095,4186390786;30829,9358242299;15807,4798663667
16831,2066359622;35070,833183115;16363,2005117021
14822,3497065387;30277,7117797948;15612,7030059528
16347,4358320819;34954,9151247167;16080,4741960974
14658,0472272318;30321,5169937541;15318,0676904106
16291,838084904;35289,6322408924;15961,5011481477
14356,9523055511;30213,6118519883;14928,9691479443
15981,5689032117;35933,4879241124;16036,0879815997
14475,7387435854;30039,8593748339;14880,1641307298
15498,6746081902;34966,8628135583;15689,3751538252
14284,9170105737;29937,2443707195;14677,9133735077
15586,5695232946;33925,7152153853;15507,1748189006
14110,4845166675;29707,9571970279;14788,9287619665
14877,2061051608;33605,3056002082;15460,0739425147
13800,2351568846;28862,0443943703;14371,8064287279
14650,1616376252;33141,0422283825;14826,1589196386
13507,4628201288;27998,6654039343;13868,8295793447
14373,9024341123;32315,8383217081;14620,5241738386
13133,6052032663;27567,2437098672;13470,4364379666
14075,1303059893;31120,8243869552;14296,3625379767
12814,6059330246;26631,2921014257;13143,03852298
13416,4886201073;30450,9994074804;13719,0977109323
12362,8113424825;26231,4737418108;12611,9160181152
13328,4990387528;29542,43660914;13176,4329756773
12138,4169399483;25042,0961158581;12322,6333607934
12808,5753614712;27841,5662383085;12657,0577453361
11548,9494648815;23503,6807219355;11800,0121853851
12552,9323770057;27405,871148705;12416,2947241349
11369,2446861153;23417,0028973236;11732,5319340394
11922,8751650848;26630,8402530136;12426,8670244573
11075,7588737706;22697,3722580678;11426,3403985054
11848,8808534991;26323,4530869272;12381,4492947413
10712,0774197514;21930,737250064;11212,4301891917
11238,6103008308;25291,4318892904;11817,9170140719
10554,5872298773;21557,2885603345;11459,0824056116
11245,6931355919;25172,0301564466;11852,7099554194
10337,3552726556;21368,681884608;11320,8290033639
10818,3569805955;24550,911413493;11368,765601963
10377,5499877619;21007,8597618424;11343,5537635617
10589,3730618497;24086,9203701071;11279,1267114965
9976,88667763381;20919,5659521404;11097,2359588537
10479,2575457161;23858,8531468226;11145,4624287263
9912,26992056162;20857,0655302794;10897,3585330203
10266,944355011;23205,1670074204;10685,9740649999
9531,72880625595;20356,7233984217;10752,0986765193
9982,78110662131;22870,7165826066;10508,453430207
9520,99476054909;20179,686934894;10313,6369416439
