X;Y;X;Y
;;-4,01E+08;-3,06E+07
;;-4,00E+08;-3,02E+07
;;-4,00E+08;-2,97E+07
;;-3,99E+08;-2,93E+07
;;-3,98E+08;-2,89E+07
;;-3,97E+08;-2,84E+07
;;-3,97E+08;-2,80E+07
;;-3,96E+08;-2,76E+07
;;-3,95E+08;-2,72E+07
;;-3,94E+08;-2,68E+07
;;-3,93E+08;-2,63E+07
;;-3,93E+08;-2,59E+07
;;-3,92E+08;-2,55E+07
;;-3,91E+08;-2,52E+07
;;-3,91E+08;-2,48E+07
;;-3,90E+08;-2,44E+07
;;-3,89E+08;-2,40E+07
;;-3,88E+08;-2,36E+07
;;-3,88E+08;-2,33E+07
;;-3,87E+08;-2,29E+07
;;-3,86E+08;-2,25E+07
;;-3,86E+08;-2,22E+07
;;-3,85E+08;-2,18E+07
;;-3,84E+08;-2,15E+07
;;-3,84E+08;-2,11E+07
;;-3,83E+08;-2,08E+07
;;-3,82E+08;-2,04E+07
;;-3,82E+08;-2,01E+07
;;-3,81E+08;-1,98E+07
;;-3,80E+08;-1,94E+07
;;-3,80E+08;-1,91E+07
;;-3,79E+08;-1,88E+07
;;-3,78E+08;-1,85E+07
;;-3,78E+08;-1,82E+07
;;-3,77E+08;-1,78E+07
;;-3,77E+08;-1,75E+07
;;-3,76E+08;-1,72E+07
;;-3,75E+08;-1,69E+07
;;-3,75E+08;-1,66E+07
;;-3,74E+08;-1,63E+07
;;-3,74E+08;-1,60E+07
;;-3,73E+08;-1,57E+07
;;-3,72E+08;-1,54E+07
;;-3,72E+08;-1,51E+07
;;-3,71E+08;-1,49E+07
;;-3,71E+08;-1,46E+07
;;-3,70E+08;-1,43E+07
;;-3,69E+08;-1,40E+07
;;-3,69E+08;-1,37E+07
;;-3,68E+08;-1,35E+07
;;-3,68E+08;-1,32E+07
;;-3,67E+08;-1,29E+07
;;-3,67E+08;-1,27E+07
;;-3,66E+08;-1,24E+07
;;-3,65E+08;-1,21E+07
;;-3,65E+08;-1,19E+07
;;-3,64E+08;-1,16E+07
;;-3,64E+08;-1,14E+07
;;-3,63E+08;-1,11E+07
;;-3,63E+08;-1,09E+07
;;-3,62E+08;-1,06E+07
;;-3,62E+08;-1,04E+07
;;-3,61E+08;-1,01E+07
;;-3,61E+08;-9866280
;;-3,60E+08;-9623024
;;-3,60E+08;-9381768
;;-3,59E+08;-9142168
;;-3,58E+08;-8904848
;;-3,58E+08;-8668912
;;-3,57E+08;-8435200
;;-3,57E+08;-8203120
;;-3,56E+08;-7972992
;;-3,56E+08;-7744512
;;-3,55E+08;-7291400
;;-3,54E+08;-6845568
;;-3,53E+08;-6407008
;;-3,52E+08;-5974464
;;-3,51E+08;-5547232
;;-3,50E+08;-5125296
;;-3,49E+08;-4708896
;;-3,48E+08;-4297096
;;-3,47E+08;-3890752
;;-3,46E+08;-3489808
;;-3,45E+08;-3093640
;;-3,44E+08;-2702808
;;-3,43E+08;-2316672
;;-3,43E+08;-1935464
;;-3,42E+08;-1559168
;;-3,41E+08;-1188032
;;-3,40E+08;-821128
;;-3,39E+08;-459264
;;-3,38E+08;-102184
;;-3,37E+08;250456
