R;P;T
16248,250124314;36570,2983090004;19072,2396007953
15844,6643474262;34107,9464177601;17840,2372147898
15633,1555753977;35385,211406046;17978,9477731558
15255,0216053337;33066,7325653947;16900,358940347
15377,439117629;34388,2028463521;17036,4564849744
14718,5837650966;32121,0704733554;16295,2999103656
15372,5695546695;34440,4252824903;16852,8647248285
14284,4859806254;32502,5489491819;16160,1092971345
14915,412273395;34727,5945924826;17107,7584403532
14095,491611554;32626,3982657377;15982,5435649241
15120,2635112815;35855,5935278216;17383,8806560784
13858,6285310609;33149,666331733;15873,5044124265
14916,0733453832;36649,4767642196;17175,8929815283
14190,3630440156;33513,416310718;15523,9323178533
14916,7139176327;36496,3631785735;16966,3627303538
14268,7738042236;33324,7068682458;15615,8311581467
14902,301078046;35939,7280790204;16830,0076894357
14129,2350012423;32586,0212303191;15032,0601373433
14239,4570206165;34885,0292942601;16615,9217885915
14283,0161868475;32299,4514334628;15137,3520401816
14384,5267871188;32949,4623589663;15885,8253538371
14045,8269120268;31067,6171049468;14817,1640006301
13188,2093238362;31808,2091004879;16019,2944723827
13751,9201840144;30134,4044075803;14678,2587483955
13313,8433307442;30821,2986756163;15505,7024065619
13522,1461140844;29426,25619207;14426,6029562332
13051,0068579484;30068,2733652592;14595,2502311816
13140,069928145;29116,61672012;13999,0781537386
13019,9849706378;29476,385872242;14839,5683994321
13007,1921241545;27528,4675244008;13745,0140164506
13619,7507575503;28769,9758015718;14710,9585411167
13069,9558820422;27613,8245360265;14252,0057812138
13892,4368316208;29353,7502205111;14491,3150943133
13223,2597662322;28041,8293497748;14540,899845563
13392,2145594976;29161,3244821106;14642,5555288414
13036,9487554289;28349,815614333;14652,1517821726
13333,8282388219;29969,059590407;15021,9761468853
13195,9601696879;28839,5988656921;14990,0364856262
13329,4831221161;30296,4250477905;15349,3925808005
13360,4439635092;28888,6020386691;14969,8036200656
13795,7184999366;30864,3739216935;15541,367871622
13409,4598149535;29048,9715970767;14760,7443654121
13672,7934048846;30056,0630505246;15206,8264574555
13586,0469697603;28990,2370698488;14826,7275780315
13970,3516092778;29962,6170571344;15442,0531073355
13575,6305705191;28665,3617410434;14802,2427014043
14529,8653279004;30837,3964480293;15281,0159734314
14257,7449341857;29158,0840537289;15095,1563643023
14550,3958217502;29902,2424939884;15296,161711444
13645,531140799;28414,4840898617;14797,3790791184
14140,4209862322;29478,7885004541;14935,3886183824
13836,4407561499;27543,7397348291;14461,6991660958
13898,2041058417;28488,754493895;14068,1776969923
13618,4976142739;27575,6659598338;14210,3461932226
13366,8671154072;28532,3531188705;13862,9579681485
13396,1585771325;27009,6523517307;13821,9432884961
12975,0722197965;27778,0041762493;13267,2371109219
13115,5410185769;25786,0856005663;13304,3388070278
12368,6989230745;26949,5227508441;13034,6568072678
12240,4068975787;25831,9063418211;12911,9650757538
